temp_K,humidity,pressure,wind_speed,wind_deg,clouds,sunrise,sunset,time,temp_C
294.15,87.0,1019,4.89,10,100,1761951546,1761992473,2025-11-01 11:18:10,21.0
294.15,87.0,1019,4.89,10,100,1761951546,1761992473,2025-11-01 11:18:30,21.0
